"season","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","team_display_name","conf","mov","ortg","drtg","nrtg","mov.a","ortg.a","drtg.a","nrtg.a","playoffs_flag"
2002,94.0365853658537,98.2682926829268,20.1951219512195,4.26829268292683,29.8170731707317,11.6463414634146,0.458816851830631,66.0487804878049,35.2390243902439,14.5609756097561,15.5487804878049,76.2426829268293,23.6829268292683,33,49,"Atlanta Hawks","E",-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9,0
2002,92.2560975609756,97.2073170731707,18.0731707317073,5.42682926829268,29.4024390243902,12.5,0.455911950887257,62.7926829268293,33.1817073170732,18.0487804878049,14.0975609756098,73.7890243902439,23.0853658536585,28,54,"Houston Rockets","W",-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95,0
2002,96.8048780487805,96.5365853658537,22.9756097560976,5.31707317073171,31.3170731707317,11.3414634146341,0.472855760427841,65.6707317073171,34.2548780487805,14.5731707317073,15.2317073170732,76.8634146341463,26.280487804878,42,40,"Indiana Pacers","E",0.27,105.09,104.59,0.5,-0.07,105.08,104.98,0.1,1
2002,95.6829268292683,96.1463414634146,20.9024390243902,6.58536585365854,30.1707317073171,13.2073170731707,0.466121714007341,67.3292682926829,34.9463414634146,13.9878048780488,14.8048780487805,73.8963414634146,24.7073170731707,39,43,"Los Angeles Clippers","W",-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05,0
2002,101.268292682927,94.1463414634146,22.9512195121951,5.82926829268293,31.7926829268293,12.4634146341463,0.489606107326289,65.8658536585366,35.219512195122,17.5487804878049,12.6829268292683,70.5048780487805,26.0731707317073,58,24,"Los Angeles Lakers","W",7.12,110.29,102.52,7.77,7.15,110.12,102.3,7.82,1
2002,87.1951219512195,88.7317073170732,20.2926829268293,5.46341463414634,31.0243902439024,11,0.454790444430936,66.8658536585366,35.890243902439,10.9634146341463,14.8414634146341,72.6707317073171,20.8292682926829,36,46,"Miami Heat","E",-1.54,99.28,101.15,-1.88,-1.85,99.08,101.31,-2.22,0
2002,97.5121951219512,97.7317073170732,22.5243902439024,4.73170731707317,31.1829268292683,10.2560975609756,0.490499805945246,60.9024390243902,37.5768292682927,19.3048780487805,14.109756097561,74.5536585365854,21.5487804878049,41,41,"Milwaukee Bucks","E",-0.22,107.78,108,-0.22,-0.62,107.93,108.6,-0.68,0
2002,99.3414634146341,95.9512195121951,24.3048780487805,5.20731707317073,31.2439024390244,12.9146341463415,0.477436430598976,71.219512195122,38.7865853658537,12.7682926829268,13.3780487804878,79.8109756097561,21.390243902439,50,32,"Minnesota Timberwolves","W",3.38,109.79,105.97,3.82,3.58,109.78,105.73,4.05,1
2002,96.2073170731707,92.0487804878049,24.2682926829268,5.97560975609756,30.6707317073171,12.6707317073171,0.469894324280042,68.5609756097561,33.0085365853659,14.5609756097561,14.5,73.6878048780488,23.2560975609756,52,30,"New Jersey Nets","E",4.16,104.78,100.28,4.5,3.67,104.65,100.71,3.94,1
2002,91.6341463414634,95.6219512195122,20.9756097560976,3.51219512195122,29.9756097560976,10.6829268292683,0.453024004893106,63.1219512195122,35.0560975609756,16.390243902439,14.5365853658537,79.1743902439024,21.780487804878,30,52,"New York Knicks","E",-3.99,102.02,106.38,-4.36,-4.15,102.1,106.66,-4.56,0
2002,100.487804878049,98.9146341463415,22,4.68292682926829,29.7560975609756,11.4878048780488,0.474373049404122,63.8170731707317,37.7109756097561,20.2439024390244,13.6463414634146,75.0780487804878,23.3780487804878,44,38,"Orlando Magic","E",1.57,107.71,106.04,1.67,1.25,107.88,106.58,1.3,1
2002,96.3536585365854,94.1463414634146,21,3.5609756097561,31.3414634146341,10.8658536585366,0.45136528949731,58.3536585365854,35.8439024390244,23.7317073170732,13.5853658536585,76.1024390243903,23.9024390243902,49,33,"Boston Celtics","E",2.21,104.1,101.7,2.4,1.74,103.95,102.08,1.87,1
2002,91,89.390243902439,19.9756097560976,4.42682926829268,30.9024390243902,13.3170731707317,0.45348905759612,69.7682926829268,29.940243902439,8.71951219512195,15.3170731707317,77.9341463414634,25.6585365853659,43,39,"Philadelphia 76ers","E",1.6,103.12,101.42,1.7,1.27,103.02,101.69,1.33,1
2002,95.1463414634146,95.8292682926829,22.4146341463415,4.89024390243902,29.6341463414634,13.0731707317073,0.471350733867661,71.1951219512195,32.3463414634146,13.3658536585366,14.6951219512195,76.4353658536585,19.8780487804878,36,46,"Phoenix Suns","W",-0.68,104.07,104.71,-0.64,-0.3,103.98,104.19,-0.21,0
