season,conference,team
2023,West,Minnesota Timberwolves
2023,West,Los Angeles Clippers
2023,West,Sacramento Kings
2023,West,Memphis Grizzlies
2023,West,Denver Nuggets
2023,West,Phoenix Suns
2023,West,Golden State Warriors
2023,West,Los Angeles Lakers
2023,East,Milwaukee Bucks
2023,East,Cleveland Cavaliers
2023,East,Brooklyn Nets
2023,East,Atlanta Hawks
2023,East,Miami Heat
2023,East,New York Knicks
2023,East,Philadelphia 76ers
2023,East,Boston Celtics
2022,West,Minnesota Timberwolves
2022,West,Denver Nuggets
2022,West,Utah Jazz
2022,West,New Orleans Pelicans
2022,West,Memphis Grizzlies
2022,West,Golden State Warriors
2022,West,Dallas Mavericks
2022,West,Phoenix Suns
2022,East,Chicago Bulls
2022,East,Brooklyn Nets
2022,East,Toronto Raptors
2022,East,Atlanta Hawks
2022,East,Milwaukee Bucks
2022,East,Boston Celtics
2022,East,Philadelphia 76ers
2022,East,Miami Heat
2021,West,Dallas Mavericks
2021,West,Portland Trail Blazers
2021,West,Memphis Grizzlies
2021,West,Los Angeles Lakers
2021,West,Los Angeles Clippers
2021,West,Denver Nuggets
2021,West,Utah Jazz
2021,West,Phoenix Suns
2021,East,Miami Heat
2021,East,Boston Celtics
2021,East,Washington Wizards
2021,East,New York Knicks
2021,East,Milwaukee Bucks
2021,East,Brooklyn Nets
2021,East,Philadelphia 76ers
2021,East,Atlanta Hawks
2020,West,Portland Trail Blazers
2020,West,Dallas Mavericks
2020,West,Utah Jazz
2020,West,Oklahoma City Thunder
2020,West,Los Angeles Lakers
2020,West,Los Angeles Clippers
2020,West,Denver Nuggets
2020,West,Houston Rockets
2020,East,Orlando Magic
2020,East,Brooklyn Nets
2020,East,Philadelphia 76ers
2020,East,Indiana Pacers
2020,East,Milwaukee Bucks
2020,East,Toronto Raptors
2020,East,Boston Celtics
2020,East,Miami Heat
2019,West,Los Angeles Clippers
2019,West,San Antonio Spurs
2019,West,Oklahoma City Thunder
2019,West,Utah Jazz
2019,West,Golden State Warriors
2019,West,Denver Nuggets
2019,West,Portland Trail Blazers
2019,West,Houston Rockets
2019,East,Detroit Pistons
2019,East,Orlando Magic
2019,East,Brooklyn Nets
2019,East,Indiana Pacers
2019,East,Milwaukee Bucks
2019,East,Toronto Raptors
2019,East,Philadelphia 76ers
2019,East,Boston Celtics
2018,West,Minnesota Timberwolves
2018,West,San Antonio Spurs
2018,West,Portland Trail Blazers
2018,West,Oklahoma City Thunder
2018,West,Houston Rockets
2018,West,Golden State Warriors
2018,West,New Orleans Pelicans
2018,West,Utah Jazz
2018,East,Washington Wizards
2018,East,Milwaukee Bucks
2018,East,Miami Heat
2018,East,Indiana Pacers
2018,East,Toronto Raptors
2018,East,Boston Celtics
2018,East,Philadelphia 76ers
2018,East,Cleveland Cavaliers
2017,West,Portland Trail Blazers
2017,West,Memphis Grizzlies
2017,West,Oklahoma City Thunder
2017,West,Los Angeles Clippers
2017,West,Golden State Warriors
2017,West,San Antonio Spurs
2017,West,Houston Rockets
2017,West,Utah Jazz
2017,East,Chicago Bulls
2017,East,Indiana Pacers
2017,East,Milwaukee Bucks
2017,East,Atlanta Hawks
2017,East,Boston Celtics
2017,East,Cleveland Cavaliers
2017,East,Toronto Raptors
2017,East,Washington Wizards
2016,West,Houston Rockets
2016,West,Memphis Grizzlies
2016,West,Dallas Mavericks
2016,West,Los Angeles Clippers
2016,West,Golden State Warriors
2016,West,San Antonio Spurs
2016,West,Oklahoma City Thunder
2016,West,Portland Trail Blazers
2016,East,Detroit Pistons
2016,East,Indiana Pacers
2016,East,Charlotte Hornets
2016,East,Boston Celtics
2016,East,Cleveland Cavaliers
2016,East,Toronto Raptors
2016,East,Miami Heat
2016,East,Atlanta Hawks
2015,West,New Orleans Pelicans
2015,West,Dallas Mavericks
2015,West,San Antonio Spurs
2015,West,Portland Trail Blazers
2015,West,Golden State Warriors
2015,West,Houston Rockets
2015,West,Los Angeles Clippers
2015,West,Memphis Grizzlies
2015,East,Brooklyn Nets
2015,East,Boston Celtics
2015,East,Milwaukee Bucks
2015,East,Toronto Raptors
2015,East,Atlanta Hawks
2015,East,Cleveland Cavaliers
2015,East,Chicago Bulls
2015,East,Washington Wizards
2014,West,Dallas Mavericks
2014,West,Memphis Grizzlies
2014,West,Golden State Warriors
2014,West,Houston Rockets
2014,West,San Antonio Spurs
2014,West,Oklahoma City Thunder
2014,West,Los Angeles Clippers
2014,West,Portland Trail Blazers
2014,East,Atlanta Hawks
2014,East,Charlotte Bobcats
2014,East,Toronto Raptors
2014,East,Chicago Bulls
2014,East,Indiana Pacers
2014,East,Miami Heat
2014,East,Brooklyn Nets
2014,East,Washington Wizards
2013,West,Houston Rockets
2013,West,Los Angeles Lakers
2013,West,Denver Nuggets
2013,West,Los Angeles Clippers
2013,West,Oklahoma City Thunder
2013,West,San Antonio Spurs
2013,West,Golden State Warriors
2013,West,Memphis Grizzlies
2013,East,Milwaukee Bucks
2013,East,Boston Celtics
2013,East,Atlanta Hawks
2013,East,Brooklyn Nets
2013,East,Miami Heat
2013,East,New York Knicks
